# ClearVision operator quality audit matrix; durable docs record date=2026-08-25
# Source audit=e76c74e392bb14ffe02ef9ea9c7a614cb8987f04; current HEAD=ee00cc7aa83ef2b2548e31ffafaff141e2606c5f; relevant source diff=0
# U=RUNTIME_OUTPUT_UNDOCUMENTED; D=RUNTIME_OUTPUT_DYNAMIC_UNPROVEN; P=GET_PARAM_DEFAULT_MISMATCH; N=OUTPUT_KEY_NO_SUCCESS_PATH; S=SURFACE_IDENTITY_MISMATCH
# NR=no confirmed operator-specific defect after static cross-layer review; low-confidence analyzer signals remain visible in U/D/P/N/S
# PF=common typed preview/state/fallback reviewed; no per-operator real hardware/model/database execution
# PS=side-effect preview blocking/summary contract reviewed; no real external I/O
# F01 is cross-cutting: legacy placeholder/empty port-ID migration can affect any matching row and is not repeated per row
# F07 is cross-cutting: blocked/auth-error module-result status contradiction applies to the preview panel and is not repeated per row
operator,category,declared_inputs,declared_outputs,declared_properties,output_types,U,D,P,N,S,manual_review,preview_review
ImageAcquisition,采集,2,1,6,Image,11,1,0,0,0,NR,PF
AffineTransform,图像预处理,1,2,9,Image+Any,0,1,0,0,0,NR,PF
BilateralFilter,图像预处理,1,1,3,Image,5,1,0,0,0,NR,PF
ClaheEnhancement,图像预处理,1,1,5,Image,6,1,0,0,0,NR,PF
ColorConversion,图像预处理,1,1,2,Image,2,1,0,0,0,NR,PF
CopyMakeBorder,图像预处理,1,1,6,Image,2,1,0,0,0,NR,PF
FFT1D,图像预处理,2,4,0,Any+Any+Any+Image,3,1,0,0,0,NR,PF
Filtering,图像预处理,1,3,8,Image+String+Any,2,1,0,0,0,NR,PF
FrameAveraging,图像预处理,1,2,2,Image+Integer,0,1,0,0,0,NR,PF
FrequencyFilter,图像预处理,5,3,0,Any+Any+Image,6,1,0,0,0,NR,PF
HistogramEqualization,图像预处理,1,1,4,Image,5,1,0,0,0,NR,PF
ImageAdd,图像预处理,2,1,6,Image,7,1,0,0,0,NR,PF
ImageBlend,图像预处理,2,1,3,Image,3,1,0,0,0,NR,PF
ImageCompose,图像预处理,4,1,3,Image,2,1,0,0,0,NR,PF
ImageCrop,图像预处理,1,1,4,Image,2,1,0,0,0,NR,PF
ImageNormalize,图像预处理,1,6,4,Image+String+String+Integer+String+Boolean,0,1,0,0,0,NR,PF
ImageResize,图像预处理,1,1,5,Image,2,1,0,0,0,NR,PF
ImageRotate,图像预处理,1,1,5,Image,2,1,0,0,0,NR,PF
ImageStitching,图像预处理,2,2,3,Image+Float,3,1,0,0,0,NR,PF
ImageSubtract,图像预处理,2,4,1,Image+Float+Float+Float,1,1,0,0,0,NR,PF
ImageTiling,图像预处理,1,3,4,Any+Integer+Image,0,1,0,0,0,NR,PF
InverseFFT1D,图像预处理,2,4,0,Any+Any+Any+Image,2,1,0,0,0,NR,PF
LaplacianSharpen,图像预处理,1,6,3,Image+Integer+Float+Float+String+String,0,1,0,0,0,NR,PF
MeanFilter,图像预处理,1,1,2,Image,3,1,0,0,0,NR,PF
MedianBlur,图像预处理,1,1,1,Image,2,1,0,0,0,NR,PF
PerspectiveTransform,图像预处理,3,1,20,Image,2,1,0,0,0,NR,PF
PolarUnwrap,图像预处理,2,1,8,Image,2,1,1,0,0,R02-OAR010,PF
RoiManager,图像预处理,1,3,10,Image+Image+Any,5,1,0,0,0,NR,PF
ShadingCorrection,图像预处理,2,1,3,Image,3,1,0,0,0,NR,PF
AdaptiveThreshold,分割与区域,1,1,5,Image,4,1,0,0,0,NR,PF
BinaryImageToRegion,分割与区域,1,3,3,Region+Image+Integer,4,1,0,0,0,NR,PF
BlobAnalysis,分割与区域,2,4,17,Image+BlobList+BlobFeatureList+Integer,0,1,0,0,0,NR,PF
DistanceTransform,分割与区域,1,4,7,Image+Any+Float+Point,10,1,0,0,0,NR,PF
MorphologicalOperation,分割与区域,1,1,7,Image,4,1,0,0,0,NR,PF
Morphology,分割与区域,1,1,6,Image,5,1,0,0,0,NR,PF
RectangleRegion,分割与区域,0,1,4,Rectangle,0,0,0,0,0,NR,PF
RegionClosing,分割与区域,2,3,3,Region+Image+Integer,5,1,0,0,0,NR,PF
RegionComplement,分割与区域,4,3,0,Region+Image+Integer,5,1,0,0,0,NR,PF
RegionDifference,分割与区域,2,3,0,Region+Image+Integer,4,1,0,0,0,NR,PF
RegionDilation,分割与区域,2,3,4,Region+Image+Integer,7,1,0,0,0,NR,PF
RegionErosion,分割与区域,2,3,4,Region+Image+Integer,7,1,0,0,0,NR,PF
RegionIntersection,分割与区域,2,3,0,Region+Image+Integer,4,1,0,0,0,NR,PF
RegionOpening,分割与区域,2,3,3,Region+Image+Integer,5,1,0,0,0,NR,PF
RegionSkeleton,分割与区域,2,5,2,Region+Image+Integer+Integer+Integer,7,1,0,0,0,NR,PF
RegionUnion,分割与区域,2,3,0,Region+Image+Integer,3,1,0,0,0,NR,PF
Thresholding,分割与区域,1,1,4,Image,6,1,0,0,0,NR,PF
BlobLabeling,特征提取,2,3,3,Image+Any+Integer,0,1,0,0,0,NR,PF
CodeRecognition,特征提取,1,4,2,Image+String+Integer+String,3,1,0,0,0,NR,PF
ColorDetection,特征提取,2,10,18,Image+Any+String+String+Float+Float+String+Any+Any+Any,0,1,0,0,0,NR,PF
ContourDetection,特征提取,1,3,11,Image+Contour+Integer,6,1,0,0,0,NR,PF
CornerDetection,特征提取,1,3,5,Image+PointList+Integer,0,1,0,0,0,NR,PF
EdgeDetection,特征提取,1,2,14,Image+Image,11,1,0,0,0,NR,PF
GlcmTexture,特征提取,1,6,9,Float+Float+Float+Float+Float+Any,0,0,0,0,0,NR,PF
HistogramAnalysis,特征提取,1,11,6,Image+Float+Float+Float+Float+Float+Float+Integer+Integer+Integer+Integer,13,1,0,0,0,NR,PF
ImageDiff,特征提取,2,2,0,Image+Float,3,1,0,0,0,NR,PF
LawsTextureFilter,特征提取,1,3,5,Image+Image+Float,0,0,0,0,0,NR,PF
